Participant ID,Age,Sex,Self reported sleep duration nights 1-3,Journal reported sleep duration nights 1-3,Mean % correct categorization for new items,Mean % correct categorization for old items,Mean % correct categorization for prototypes,Ration of prototype % Accuracy/New exeplar % Acuracy
70,,female,360,445,0.7407407164573670,0.9629629850387570,0.6666666865348820,0.8999999761581420
71,19,female,420,468.3333435058590,1,0.9444444179534910,1,1
73,19,female,360,405,0.8518518805503850,0.8333333134651180,1,1.1739130020141600
74,19,male,470,445,0.7037037014961240,0.9814814925193790,0.8888888955116270,1.263157844543460
75,21,female,390,225.48666381835900,0.7407407164573670,0.7407407164573670,0.3333333432674410,0.44999998807907100
76,18,female,360,533.3333129882810,0.3333333432674410,0.40740740299224900,0.4444444477558140,1.3333333730697600
77,18,female,480,480,0.5555555820465090,0.8703703880310060,0.7777777910232540,1.399999976158140
78,18,female,470,450.6666564941410,0.6666666865348820,0.8518518805503850,0.6666666865348820,1
79,21,male,420,366.6666564941410,0.48148149251937900,0.8333333134651180,0.7777777910232540,1.615384578704830
80,21,female,390,443.3333435058590,0.4444444477558140,0.6851851940155030,0.5555555820465090,1.25
81,18,male,390,323.3333435058590,0.7037037014961240,0.9259259104728700,0.8888888955116270,1.263157844543460
82,19,female,510,506.6666564941410,0.6296296119689940,0.9814814925193790,0.6666666865348820,1.058823585510250
83,19,female,390,330,0.48148149251937900,0.6296296119689940,0.5555555820465090,1.1538461446762100
